// File: aSPab.txt
// Data file for SeaPort projects
// Date: Sat Jul 09 17:59:17 EDT 2016

// port   name index parent(null)
//    port   <string> <int> <int>
port Xiangtan 10003 0
port Port_Des_Galets 10001 0
port Wuchun 10004 0
port Majunga 10002 0
port Bangpakong 10000 0

// dock   name index parent(port)
//    dock   <string> <int> <int>
  dock Pier_30 20030 10003 40048
  dock Pier_24 20024 10003 30017
  dock Pier_21 20021 10002 30014
  dock Pier_31 20031 10003 40049
  dock Pier_9 20009 10001 30008
  dock Pier_27 20027 10003 40045
  dock Pier_3 20003 10000 30003
  dock Pier_33 20033 10004 30021
  dock Pier_10 20010 10001 30009
  dock Pier_26 20026 10003 30019
  dock Pier_1 20001 10000 30001
  dock Pier_8 20008 10001 30007
  dock Pier_5 20005 10000 40000
  dock Pier_20 20020 10002 30013
  dock Pier_23 20023 10003 30016
  dock Pier_35 20035 10004 30023
  dock Pier_13 20013 10001 40017
  dock Pier_16 20016 10001 40020
  dock Pier_17 20017 10002 30010
  dock Pier_32 20032 10004 30020
  dock Pier_11 20011 10001 40015
  dock Pier_0 20000 10000 30000
  dock Pier_2 20002 10000 30002
  dock Pier_19 20019 10002 30012
  dock Pier_4 20004 10000 30004
  dock Pier_18 20018 10002 30011
  dock Pier_36 20036 10004 30024
  dock Pier_22 20022 10003 30015
  dock Pier_25 20025 10003 30018
  dock Pier_37 20037 10004 40060
  dock Pier_14 20014 10001 40018
  dock Pier_29 20029 10003 40047
  dock Pier_12 20012 10001 40016
  dock Pier_7 20007 10001 30006
  dock Pier_28 20028 10003 40046
  dock Pier_15 20015 10001 40019
  dock Pier_34 20034 10004 30022
  dock Pier_6 20006 10001 30005

// cship  name index parent(dock/port) weight length width draft cargoWeight cargoVolume cargoValue
//    cship  <string> <int> <int> <double> <double> <double> <double> <double> <double> <double>
    pship               Shinto 30014 20021 172.82 233.60 106.32 25.42 1492 496 496
    pship              Poached 30021 20033 96.01 476.75 127.37 23.03 1247 607 607
    pship              Forbode 30012 20019 57.35 293.08 35.84 33.74 2608 1095 1095
    pship              Odorant 30024 20036 110.51 185.17 104.05 38.08 710 1030 355
    pship             Aspheric 30001 20001 232.37 340.63 100.13 16.05 41 723 20
    pship              Jollity 30020 20032 83.65 285.79 71.84 35.81 3639 949 949
    pship              Roundly 30005 20006 79.15 400.46 72.59 18.89 1937 532 532
    pship                Hooky 30013 20020 147.50 287.46 107.15 27.13 1148 827 574
    pship           Historians 30018 20025 137.12 191.31 100.04 41.54 143 165 71
    pship          Subdividing 30011 20018 240.08 154.54 94.33 26.29 2044 1068 1022
    pship          Fussbudgets 30007 20008 234.99 109.73 100.95 38.73 1136 323 323
    pship          Loathsomely 30010 20017 228.47 150.54 80.27 42.15 782 256 256
    pship           Metricizes 30022 20034 90.84 178.97 102.97 38.96 1361 579 579
    pship             Populism 30004 20004 218.81 475.55 72.64 44.56 1014 765 507
    pship             Cracking 30002 20002 86.41 457.78 63.99 34.70 2198 625 625
    pship          Paradoxical 30023 20035 222.98 492.00 102.26 18.35 1443 691 691
    pship          Nonsporting 30008 20009 249.37 191.65 81.57 32.63 2138 578 578
    pship            Shoemaker 30015 20022 142.37 294.62 97.04 15.80 83 107 41
    pship           Patchiness 30000 20000 137.89 377.48 95.21 35.45 1499 725 725
    pship            Recliners 30003 20003 226.17 497.52 50.87 31.20 215 150 107
    pship              Percept 30019 20026 80.12 388.34 100.06 24.74 219 201 109
    pship              Isomers 30009 20010 158.08 206.87 40.90 15.24 49 342 24
    pship              Roiling 30006 20007 191.77 213.50 58.31 43.16 1402 917 701
    pship              Nattily 30016 20023 102.97 204.58 92.56 32.71 531 615 265
    pship           Propagator 30017 20024 160.79 236.34 46.87 40.39 869 292 292

// pship  name index parent(dock/port) weight length width draft numPassengers numRooms numOccupied
//    pship  <string> <int> <int> <double> <double> <double> <double> <int> <int> <int>
    cship           Untimelier 40017 20013 175.16 300.33 49.89 26.39 35.66 187.27 70.85
    cship             Cryogens 40067 10004 150.34 138.39 60.20 44.05 67.98 153.38 395.82
    cship           Fatherless 40049 20031 234.99 395.50 35.12 19.90 183.08 189.54 237.54
